,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,AFDS,"ClassNumber(num='AFDS-103 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=AFDS&crse_numb_in=103&crn_in=10542&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=AFDS-103 A&term_code=201610&term_desc=Fall 2015&crn=10542')","Intro African,Diaspora Stdies",10542,T R 9:30 AM - 10:50 AM,Meneely Hall 305,"[ClassInstructor(name='Nunez, Caryl M.', link='https://wheatoncollege.edu/academics/faculty-directory/Caryl-Nunez/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=AFDS&course-1=103&section-1=A,"SeatInfo(max='Max Enroll: 35', taken='Max Enroll: 35', avail='Max Enroll: 35', wait_list='Max Enroll: 35')",Limited to 35. 
1,AFDS,"ClassNumber(num='AFDS-299 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=AFDS&crse_numb_in=299&crn_in=10653&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-299 A01&term_code=201610&term_desc=Fall 2015&crn=10653')",Independent Study,10653,TBA,Location info TBA,"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=AFDS&course-1=299&section-1=A01,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of Instructor. 
2,AFDS,"ClassNumber(num='AFDS-399 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=AFDS&crse_numb_in=399&crn_in=10589&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-399 A01&term_code=201610&term_desc=Fall 2015&crn=10589')",Independent Study,10589,TBA,Location info TBA,"[ClassInstructor(name='Christian, Shawn A.', link='https://wheatoncollege.edu/academics/faculty-directory/Shawn-Christian/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=AFDS&course-1=399&section-1=A01,"SeatInfo(max='Max Enroll: 2', taken='Max Enroll: 2', avail='Max Enroll: 2', wait_list='Max Enroll: 2')",Permission of Instructor. 
3,ANTH,"ClassNumber(num='ANTH-101 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=101&crn_in=10018&seq_numb_in=A')","ClassExam(letter='A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=A&course=ANTH-101 A&term_code=201610&term_desc=Fall 2015&crn=10018')",Human Evolution,10018,M W F 8:30 AM - 9:20 AM,Watson Fine Arts Center 102,"[ClassInstructor(name='DiGregorio, Giampaolo A.', link='https://wheatoncollege.edu/academics/faculty-directory/Giampaolo-DiGregorio/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=101&section-1=A,"SeatInfo(max='Max Enroll: 80', taken='Max Enroll: 80', avail='Max Enroll: 80', wait_list='Max Enroll: 80')",Limited to 80. 20 seats reserved for First Years. 
4,ANTH,"ClassNumber(num='ANTH-102 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=102&crn_in=10019&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-102 A&term_code=201610&term_desc=Fall 2015&crn=10019')",Intro to Cultural Anthropology,10019,T R 9:30 AM - 10:50 AM,Mary Lyon Hall 211,"[ClassInstructor(name='MacLeod, Joshua P.', link='https://wheatoncollege.edu/academics/faculty-directory/Joshua-MacLeod/')]",BW,DVSS,ARSS,"[ClassConx(num='2023', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=CONX&crse_numb_in=20023&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=102&section-1=A,"SeatInfo(max='Max Enroll: 80', taken='Max Enroll: 80', avail='Max Enroll: 80', wait_list='Max Enroll: 80')",A lab section must be selected with course. Limited to 80. 
5,ANTH,"ClassNumber(num='ANTH-102 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=102&crn_in=10020&seq_numb_in=L01')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10020,,,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=102&section-1=L01,"SeatInfo(max='Max Enroll: 30', taken='Max Enroll: 30', avail='Max Enroll: 30', wait_list='Max Enroll: 30')",A lecture section must be selected with lab. 
6,ANTH,"ClassNumber(num='ANTH-102 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=102&crn_in=10021&seq_numb_in=L02')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10021,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=102&section-1=L02,"SeatInfo(max='Max Enroll: 25', taken='Max Enroll: 25', avail='Max Enroll: 25', wait_list='Max Enroll: 25')",A lecture section must be selected with lab. 
7,ANTH,"ClassNumber(num='ANTH-102 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=102&crn_in=10022&seq_numb_in=L03')","ClassExam(letter='', link='')",Intro to Cultural Anthro Lab,10022,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=102&section-1=L03,"SeatInfo(max='Max Enroll: 25', taken='Max Enroll: 25', avail='Max Enroll: 25', wait_list='Max Enroll: 25')",A lecture section must be selected with lab. 
8,ANTH,"ClassNumber(num='ANTH-302 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=302&crn_in=10024&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=ANTH-302 A&term_code=201610&term_desc=Fall 2015&crn=10024')",Research Methods,10024,T R 2:00 PM - 3:20 PM,Knapton Hall 315,"[ClassInstructor(name='Mustafa, Mentor', link='https://wheatoncollege.edu/academics/faculty-directory/Mentor-Mustafa/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=302&section-1=A,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",Open to Sophomore and Junior Anthropology Majors or Permission of Instructor.  Limited to 20. 
9,ANTH,"ClassNumber(num='ANTH-357 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201610&subj_code_in=ANTH&crse_numb_in=357&crn_in=10147&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-357 A&term_code=201610&term_desc=Fall 2015&crn=10147')",Indigenous Religions,10147,T R 2:00 PM - 3:20 PM,Meneely Hall 102,"[ClassInstructor(name='Darling-Smith, Barbara', link='https://wheatoncollege.edu/academics/faculty-directory/Barbara-Darling-Smith/')]",,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2015&div-1=&dept-1=ANTH&course-1=357&section-1=A,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Register under REL 357.  Prerequisite: One 200-level Religion course or Permission of Instructor.  Limited to 35. 
