,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ARTS,"ClassNumber(num='ARTS-316 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=ARTS&crse_numb_in=316&crn_in=50016&seq_numb_in=S')","ClassExam(letter='', link='')",Arts in Ireland,50016,TBA,Location info TBA,"[ClassInstructor(name='Howard, Andrew K.', link='https://wheatoncollege.edu/academics/faculty-directory/Andrew-Howard/'), ClassInstructor(name='Allen, Matthew H.', link='https://wheatoncollege.edu/academics/faculty-directory/Matthew-Allen/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=ARTS&course-1=316&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')",
1,AST,"ClassNumber(num='AST-130 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=AST&crse_numb_in=130&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AST-130 S&term_code=201535&term_desc=Summer 2015&crn=50003')",The Universe,50003,T R F 2:00 PM - 4:00 PM!T R 8:30 PM - 10:30 PM,Science Center 1349!Science Center 1349,"[ClassInstructor(name='Maitra, Dipankar', link='https://wheatoncollege.edu/academics/faculty-directory/Dipankar-Maitra/')]",,DVNS,ARNS,"[ClassConx(num='2059', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20059&crn_in=&seq_numb_in='), ClassConx(num='2077', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20077&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=AST&course-1=130&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 19 to June 12, 2015. This course requires a minimum enrollment of 8 students to be held. "
2,BIO,"ClassNumber(num='BIO-106 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=BIO&crse_numb_in=106&crn_in=50004&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-106 S&term_code=201535&term_desc=Summer 2015&crn=50004')",Human Anatomy,50004,T W R F 8:30 AM - 2:00 PM,Mars Center-Science/Technology 1143,"[ClassInstructor(name='Ackerman-Morris, Shari', link='https://wheatoncollege.edu/academics/faculty-directory/shari-morris/')]",,DVNS,ARNS,"[ClassConx(num='2001', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20001&crn_in=&seq_numb_in='), ClassConx(num='2010', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20010&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=BIO&course-1=106&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 19 to June 12, 2015. This course requires a minimum enrollment of 8 students to be held. "
3,MGMT,"ClassNumber(num='MGMT-198 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=MGMT&crse_numb_in=198&crn_in=50017&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MGMT-198 S&term_code=201535&term_desc=Summer 2015&crn=50017')",Business-Innovation/Soc Change,50017,TBA,Location info TBA,"[ClassInstructor(name='Miller, Kimberly A.', link='https://wheatoncollege.edu/academics/faculty-directory/kim-miller/'), ClassInstructor(name='Hanno, Dennis M.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=MGMT&course-1=198&section-1=S,"SeatInfo(max='Max Enroll: 10', taken='Max Enroll: 10', avail='Max Enroll: 10', wait_list='Max Enroll: 10')",Offered through the Discover@Wheaton Summer Program. Application and acceptance required. 
4,HIST,"ClassNumber(num='HIST-198 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=HIST&crse_numb_in=198&crn_in=50005&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=HIST-198 S&term_code=201535&term_desc=Summer 2015&crn=50005')",U.S. Military History,50005,T W R F 2:00 PM - 4:30 PM,Meneely Hall 102,"[ClassInstructor(name='Cecil, Anni P.', link='https://wheatoncollege.edu/academics/faculty-directory/Anni-Cecil/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=HIST&course-1=198&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 19 to June 12, 2015. This course requires a minimum enrollment of 8 students to be held. "
5,PHIL,"ClassNumber(num='PHIL-125 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=PHIL&crse_numb_in=125&crn_in=50006&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHIL-125 S&term_code=201535&term_desc=Summer 2015&crn=50006')",Logic,50006,T W R F 9:30 AM - 12:00 PM,Meneely Hall 208,"[ClassInstructor(name='Partridge, John K.', link='https://wheatoncollege.edu/academics/faculty-directory/John-Partridge/')]",QA,DVAH,ARHM,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2016', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=CONX&crse_numb_in=20016&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=PHIL&course-1=125&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 19 to June 12, 2015. This course requires a minimum enrollment of 8 students to be held. "
6,PSY,"ClassNumber(num='PSY-399 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=PSY&crse_numb_in=399&crn_in=50015&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PSY-399 S&term_code=201535&term_desc=Summer 2015&crn=50015')",Independent Study,50015,TBA,Location info TBA,"[ClassInstructor(name='Berg, Michael B.', link='https://wheatoncollege.edu/academics/faculty-directory/Michael-Berg/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=PSY&course-1=399&section-1=S,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of Instructor. 
7,REL,"ClassNumber(num='REL-102 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201535&subj_code_in=REL&crse_numb_in=102&crn_in=50009&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=REL-102 S&term_code=201535&term_desc=Summer 2015&crn=50009')",Intro to Study World Religions,50009,T W R F 9:30 AM - 12:00 PM,Meneely Hall 207,"[ClassInstructor(name='Timm, Jeffrey R.', link='https://wheatoncollege.edu/academics/faculty-directory/'), ClassInstructor(name='Brumberg-Kraus, Jonathan D.', link='https://wheatoncollege.edu/academics/faculty-directory/Jonathan-Brumberg-Kraus/')]",BW,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2015&div-1=&dept-1=REL&course-1=102&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 19 to June 12, 2015. This course requires a minimum enrollment of 8 students to be held. "
