,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,AFDS,"ClassNumber(num='AFDS-201 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=AFDS&crse_numb_in=201&crn_in=50002&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-201 W&term_code=201615&term_desc=Winter 2016&crn=50002')",Witness Contemp African Soc,50002,TBA,Location info TBA,"[ClassInstructor(name='Freeman, James A.', link='https://wheatoncollege.edu/academics/faculty-directory/James-Freeman/')]",BW,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=AFDS&course-1=201&section-1=W,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",
1,MGMT,"ClassNumber(num='MGMT-298 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=MGMT&crse_numb_in=298&crn_in=50003&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MGMT-298 W&term_code=201615&term_desc=Winter 2016&crn=50003')",Ghana:Innovation/Social Change,50003,TBA,Location info TBA,"[ClassInstructor(name='Hanno, Dennis M.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=MGMT&course-1=298&section-1=W,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",
2,MUSC,"ClassNumber(num='MUSC-204 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=MUSC&crse_numb_in=204&crn_in=50001&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MUSC-204 W&term_code=201615&term_desc=Winter 2016&crn=50001')",Music Trad/Trinidad & Tobago,50001,-,Location info TBA,"[ClassInstructor(name='Searles, Julie A.', link='https://wheatoncollege.edu/academics/faculty-directory/Julie-Searles/')]",BW,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=MUSC&course-1=204&section-1=W,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",
