,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,BIO,"ClassNumber(num='BIO-318 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201515&subj_code_in=BIO&crse_numb_in=318&crn_in=50002&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-318 W&term_code=201515&term_desc=Winter 2015&crn=50002')",Tropical Field Biology,50002,TBA,Location info TBA,"[ClassInstructor(name='Shumway, Scott W.', link='https://wheatoncollege.edu/academics/faculty-directory/scott-w-shumway/')]",,DVNS,ARNS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2015&div-1=&dept-1=BIO&course-1=318&section-1=W,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')",Written application and interview process in previous Fall semester.  Prerequisite:  BIO 111 and any 200 level Biology course and Permission of Instructor. 
1,MGMT,"ClassNumber(num='MGMT-298 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201515&subj_code_in=MGMT&crse_numb_in=298&crn_in=50001&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MGMT-298 W&term_code=201515&term_desc=Winter 2015&crn=50001')",Rwanda: Post-Genocide Develop,50001,TBA,Location info TBA,"[ClassInstructor(name='Hanno, Dennis M.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2015&div-1=&dept-1=MGMT&course-1=298&section-1=W,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')",
2,MUSC,"ClassNumber(num='MUSC-204 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201515&subj_code_in=MUSC&crse_numb_in=204&crn_in=50003&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MUSC-204 W&term_code=201515&term_desc=Winter 2015&crn=50003')",Music Trad/Trinidad & Tobago,50003,TBA,Location info TBA,"[ClassInstructor(name='Searles, Julie A.', link='https://wheatoncollege.edu/academics/faculty-directory/Julie-Searles/')]",BW,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2015&div-1=&dept-1=MUSC&course-1=204&section-1=W,"SeatInfo(max='Max Enroll: 13', taken='Max Enroll: 13', avail='Max Enroll: 13', wait_list='Max Enroll: 13')",
