,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,AFDS,"ClassNumber(num='AFDS-103 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=AFDS&crse_numb_in=103&crn_in=10547&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=AFDS-103 A&term_code=201510&term_desc=Fall 2014&crn=10547')","Intro African,Diaspora Stdies",10547,T R 2:00 PM - 3:20 PM,Meneely Hall 205,"[ClassInstructor(name='Sawyer, Michael E.', link='https://wheatoncollege.edu/academics/faculty-directory/Michael-Sawyer/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=AFDS&course-1=103&section-1=A,"SeatInfo(max='Max Enroll: 35', taken='Max Enroll: 35', avail='Max Enroll: 35', wait_list='Max Enroll: 35')",Limited to 35. 
1,ANTH,"ClassNumber(num='ANTH-102 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=102&crn_in=10314&seq_numb_in=A')","ClassExam(letter='B', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=B&course=ANTH-102 A&term_code=201510&term_desc=Fall 2014&crn=10314')",Intro to Cultural Anthropology,10314,M W F 9:30 AM - 10:20 AM,Watson Fine Arts Center 102,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",BW,DVSS,ARSS,"[ClassConx(num='2023', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=CONX&crse_numb_in=20023&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=102&section-1=A,"SeatInfo(max='Max Enroll: 80', taken='Max Enroll: 80', avail='Max Enroll: 80', wait_list='Max Enroll: 80')",A lab section must be selected with course. Limited to 80. 
2,ANTH,"ClassNumber(num='ANTH-102 L01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=102&crn_in=10315&seq_numb_in=L01')","ClassExam(letter='', link='')",Intro to Cult Anthropology Lab,10315,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=102&section-1=L01,"SeatInfo(max='Max Enroll: 30', taken='Max Enroll: 30', avail='Max Enroll: 30', wait_list='Max Enroll: 30')",A lecture section must be selected with lab. 
3,ANTH,"ClassNumber(num='ANTH-102 L02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=102&crn_in=10316&seq_numb_in=L02')","ClassExam(letter='', link='')",Intro to Cult Anthropology Lab,10316,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=102&section-1=L02,"SeatInfo(max='Max Enroll: 30', taken='Max Enroll: 30', avail='Max Enroll: 30', wait_list='Max Enroll: 30')",A lecture section must be selected with lab. 
4,ANTH,"ClassNumber(num='ANTH-102 L03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=102&crn_in=10317&seq_numb_in=L03')","ClassExam(letter='', link='')",Intro to Cult Anthropology Lab,10317,TBA,Location info TBA,[],,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=102&section-1=L03,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",A lecture section must be selected with lab. 
5,ANTH,"ClassNumber(num='ANTH-210 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=210&crn_in=10318&seq_numb_in=A')","ClassExam(letter='U', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=U&course=ANTH-210 A&term_code=201510&term_desc=Fall 2014&crn=10318')",Feast or Famine:Eco Pol Food,10318,T R 9:30 AM - 10:50 AM,Knapton Hall 114,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,"[ClassConx(num='2302', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=CONX&crse_numb_in=23002&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=210&section-1=A,"SeatInfo(max='Max Enroll: 25', taken='Max Enroll: 25', avail='Max Enroll: 25', wait_list='Max Enroll: 25')",Prerequisite: ANTH 102.  Limited to 25. 
6,ANTH,"ClassNumber(num='ANTH-230 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=230&crn_in=10437&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-230 A&term_code=201510&term_desc=Fall 2014&crn=10437')",Language and Culture,10437,M W F 10:30 AM - 11:20 AM,Meneely Hall 209,"[ClassInstructor(name='Smith, Ashley E.', link='https://wheatoncollege.edu/academics/faculty-directory/Ashley-Smith/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=230&section-1=A,"SeatInfo(max='Max Enroll: 36', taken='Max Enroll: 36', avail='Max Enroll: 36', wait_list='Max Enroll: 36')",Limited to 36. 
7,ANTH,"ClassNumber(num='ANTH-235 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=235&crn_in=10319&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=ANTH-235 A&term_code=201510&term_desc=Fall 2014&crn=10319')",Peoples & Cultures of Latin Am,10319,M W 12:30 PM - 1:50 PM,Meneely Hall 301,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",BW,DVSS,ARSS,"[ClassConx(num='2303', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=CONX&crse_numb_in=23003&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=235&section-1=A,"SeatInfo(max='Max Enroll: 36', taken='Max Enroll: 36', avail='Max Enroll: 36', wait_list='Max Enroll: 36')",10 seats reserved for First Years. Limited to 36. 
8,ANTH,"ClassNumber(num='ANTH-299 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=299&crn_in=10524&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-299 A01&term_code=201510&term_desc=Fall 2014&crn=10524')",Ind Stdy: Urban Anthropology,10524,TBA,Location info TBA,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=299&section-1=A01,"SeatInfo(max='Max Enroll: 3', taken='Max Enroll: 3', avail='Max Enroll: 3', wait_list='Max Enroll: 3')",
9,ANTH,"ClassNumber(num='ANTH-302 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201510&subj_code_in=ANTH&crse_numb_in=302&crn_in=10321&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=ANTH-302 A&term_code=201510&term_desc=Fall 2014&crn=10321')",Research Methods,10321,T R 3:30 PM - 4:50 PM,Knapton Hall 214,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2014&div-1=&dept-1=ANTH&course-1=302&section-1=A,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",Open to Sophomore and Junior Anthropology Majors or Permission of Instructor.  Limited to 20. 
