,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
542,THEA,"ClassNumber(num='THEA-210 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=210&crn_in=10199&seq_numb_in=A')","ClassExam(letter='O', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=O&course=THEA-210 A&term_code=201810&term_desc=Fall 2017&crn=10199')",Introduction to Design,10199,R 2:00 PM - 4:50 PM,Watson Fine Arts Center 127,"[ClassInstructor(name=""O'Dell, Clinton E."", link='https://wheatoncollege.edu/academics/faculty-directory/clinton-odell/')]",,DVAH,ARCA,"[ClassConx(num='2089', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=CONX&crse_numb_in=20089&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=210&section-1=A,"SeatInfo(max='Max Enroll: 10', taken='Max Enroll: 10', avail='Max Enroll: 10', wait_list='Max Enroll: 10')",Register under Interview Course THEA 008. Limit of 10. 
543,THEA,"ClassNumber(num='THEA-275 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=275&crn_in=10201&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=THEA-275 A&term_code=201810&term_desc=Fall 2017&crn=10201')",History of Western Theatre,10201,T R 9:30 AM - 10:50 AM,Watson Fine Arts Center 122,"[ClassInstructor(name='Madden, Jennifer A.', link='https://wheatoncollege.edu/academics/faculty-directory/Jennifer-Madden/')]",,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=275&section-1=A,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')",Limited to 20. 
544,THEA,"ClassNumber(num='THEA-299 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=299&crn_in=10591&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-299 A01&term_code=201810&term_desc=Fall 2017&crn=10591')",Selected Topics,10591,TBA,Location info TBA,"[ClassInstructor(name=""O'Dell, Clinton E."", link='https://wheatoncollege.edu/academics/faculty-directory/clinton-odell/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=299&section-1=A01,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of department. 
545,THEA,"ClassNumber(num='THEA-299 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=299&crn_in=10597&seq_numb_in=A02')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-299 A02&term_code=201810&term_desc=Fall 2017&crn=10597')",Selected Topics,10597,TBA,Location info TBA,"[ClassInstructor(name='Fox, David M.', link='https://wheatoncollege.edu/academics/faculty-directory/david-m-fox/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=299&section-1=A02,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of department. 
546,THEA,"ClassNumber(num='THEA-320 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=320&crn_in=10202&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=THEA-320 A&term_code=201810&term_desc=Fall 2017&crn=10202')",Dance Company,10202,M T W R 5:00 PM - 7:00 PM,Balfour-Hood Campus Center DANCE,"[ClassInstructor(name='Mrozowski, Cheryl', link='https://wheatoncollege.edu/academics/faculty-directory/Cheryl-Mrozowski/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=320&section-1=A,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')",Register under Audition Course THEA 003. Audition required. Permission of Instructor.  Limited to four semesters and a total of two total credits. (.50 credits per semester) 
547,THEA,"ClassNumber(num='THEA-351 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=351&crn_in=10204&seq_numb_in=A')","ClassExam(letter='R', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=R&course=THEA-351 A&term_code=201810&term_desc=Fall 2017&crn=10204')",Advanced Acting,10204,M W 12:30 PM - 1:50 PM,Watson Fine Arts Center 201,"[ClassInstructor(name='Fox, David M.', link='https://wheatoncollege.edu/academics/faculty-directory/david-m-fox/')]",,DVAH,ARCA,"[ClassConx(num='2046', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=CONX&crse_numb_in=20046&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=351&section-1=A,"SeatInfo(max='Max Enroll: 12', taken='Max Enroll: 12', avail='Max Enroll: 12', wait_list='Max Enroll: 12')",Register under Audition Course THEA 004. Prerequisites: THEA 101 and THEA 211. Audition required on first day of class. Limited to 12. 
548,THEA,"ClassNumber(num='THEA-399 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=399&crn_in=10492&seq_numb_in=A01')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-399 A01&term_code=201810&term_desc=Fall 2017&crn=10492')",Independent Study,10492,TBA,Location info TBA,"[ClassInstructor(name='Mrozowski, Cheryl', link='https://wheatoncollege.edu/academics/faculty-directory/Cheryl-Mrozowski/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=399&section-1=A01,"SeatInfo(max='Max Enroll: 2', taken='Max Enroll: 2', avail='Max Enroll: 2', wait_list='Max Enroll: 2')",Permission of department. 
549,THEA,"ClassNumber(num='THEA-399 A02', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=399&crn_in=10593&seq_numb_in=A02')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-399 A02&term_code=201810&term_desc=Fall 2017&crn=10593')",Independent Study,10593,TBA,Location info TBA,"[ClassInstructor(name='Fox, David M.', link='https://wheatoncollege.edu/academics/faculty-directory/david-m-fox/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=399&section-1=A02,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",Permission of department. 
550,THEA,"ClassNumber(num='THEA-399 A03', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=THEA&crse_numb_in=399&crn_in=10609&seq_numb_in=A03')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=THEA-399 A03&term_code=201810&term_desc=Fall 2017&crn=10609')",Independent Study,10609,TBA,Location info TBA,"[ClassInstructor(name='McNamee, Colin C.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,DVAH,ARCA,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=THEA&course-1=399&section-1=A03,"SeatInfo(max='Max Enroll: 2', taken='Max Enroll: 2', avail='Max Enroll: 2', wait_list='Max Enroll: 2')",Permission of department. 
551,WGS,"ClassNumber(num='WGS-101 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=101&crn_in=10244&seq_numb_in=A')","ClassExam(letter='K', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=K&course=WGS-101 A&term_code=201810&term_desc=Fall 2017&crn=10244')",Intro to Women's Studies,10244,M W 2:00 PM - 3:20 PM,Meneely Hall 301,"[ClassInstructor(name='Miller, Kimberly A.', link='https://wheatoncollege.edu/academics/faculty-directory/kim-miller/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=101&section-1=A,"SeatInfo(max='Max Enroll: 35', taken='Max Enroll: 35', avail='Max Enroll: 35', wait_list='Max Enroll: 35')",Limited to 35. 
552,WGS,"ClassNumber(num='WGS-232 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=232&crn_in=10420&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=WGS-232 A&term_code=201810&term_desc=Fall 2017&crn=10420')",Women in North America to 1790,10420,M W 12:30 PM - 1:50 PM,Meneely Hall 301,"[ClassInstructor(name='Tomasek, Kathryn A.', link='https://wheatoncollege.edu/academics/faculty-directory/Kathryn-Tomasek/')]",,DVAH,ARHS,"[ClassConx(num='2305', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=CONX&crse_numb_in=23005&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=232&section-1=A,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Register under HIST 232. 
553,WGS,"ClassNumber(num='WGS-262 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=262&crn_in=10341&seq_numb_in=A')","ClassExam(letter='O', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=O&course=WGS-262 A&term_code=201810&term_desc=Fall 2017&crn=10341')",Gender and Development,10341,T R 2:00 PM - 3:20 PM,Knapton Hall LEC,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=262&section-1=A,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Register under ANTH 260. 
554,WGS,"ClassNumber(num='WGS-298 A01', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=298&crn_in=10463&seq_numb_in=A01')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=WGS-298 A01&term_code=201810&term_desc=Fall 2017&crn=10463')",Gender & Violence in the Bible,10463,M W F 10:30 AM - 11:20 AM,Knapton Hall 114,"[ClassInstructor(name='Brumberg-Kraus, Jonathan D.', link='https://wheatoncollege.edu/academics/faculty-directory/Jonathan-Brumberg-Kraus/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=298&section-1=A01,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Register under REL 298-A01. 
555,WGS,"ClassNumber(num='WGS-301 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=301&crn_in=10421&seq_numb_in=A')","ClassExam(letter='K', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=K&course=WGS-301 A&term_code=201810&term_desc=Fall 2017&crn=10421')","Fashion, Sex and the City",10421,M W 2:00 PM - 3:20 PM,Meneely Hall 208,"[ClassInstructor(name='Bianchi, Alberto', link='https://wheatoncollege.edu/academics/faculty-directory/Alberto-Bianchi/')]",,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=301&section-1=A,"SeatInfo(max='Max Enroll: 0', taken='Max Enroll: 0', avail='Max Enroll: 0', wait_list='Max Enroll: 0')",Register under ITAS 310. Taught in English. 
556,WGS,"ClassNumber(num='WGS-312 A', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=WGS&crse_numb_in=312&crn_in=10473&seq_numb_in=A')","ClassExam(letter='S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=S&course=WGS-312 A&term_code=201810&term_desc=Fall 2017&crn=10473')",Feminist Theory,10473,T R 12:30 PM - 1:50 PM,Meneely Hall 306,"[ClassInstructor(name='Dorzweiler, Nick', link='https://wheatoncollege.edu/academics/faculty-directory/nicholas-dorzweiler/')]",,DVAH,ARHM,"[ClassConx(num='2305', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201810&subj_code_in=CONX&crse_numb_in=23005&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Fall+2017&div-1=&dept-1=WGS&course-1=312&section-1=A,"SeatInfo(max='Max Enroll: 20', taken='Max Enroll: 20', avail='Max Enroll: 20', wait_list='Max Enroll: 20')","Open to Sophomores, Juniors and Seniors. Cross-Listed with PHIL 312 and ENG 312. Limited to 20. "
