,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ANTH,"ClassNumber(num='ANTH-215 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=ANTH&crse_numb_in=215&crn_in=50014&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-215 S&term_code=201735&term_desc=Summer 2017&crn=50014')",Tanzania: Educ & Development,50014,TBA,Location info TBA,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=ANTH&course-1=215&section-1=S,"SeatInfo(max='Max Enroll: 11', taken='Max Enroll: 11', avail='Max Enroll: 11', wait_list='Max Enroll: 11')",Faculty led overseas trip. 
1,INT,"ClassNumber(num='INT-098 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=INT&crse_numb_in=098&crn_in=50015&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=INT-098 S&term_code=201735&term_desc=Summer 2017&crn=50015')",Summer Internship Experience,50015,TBA,Location info TBA,"[ClassInstructor(name='Cathcart, Dolita D.', link='https://wheatoncollege.edu/academics/faculty-directory/Dolita-Cathcart/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=INT&course-1=098&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')",
2,IR,"ClassNumber(num='IR-399 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=IR&crse_numb_in=399&crn_in=50016&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=IR-399 S&term_code=201735&term_desc=Summer 2017&crn=50016')",Independent Study,50016,TBA,Location info TBA,"[ClassInstructor(name='Wilson, Jeanne', link='https://wheatoncollege.edu/academics/faculty-directory/Jeanne-Wilson/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=IR&course-1=399&section-1=S,"SeatInfo(max='Max Enroll: 1', taken='Max Enroll: 1', avail='Max Enroll: 1', wait_list='Max Enroll: 1')",
3,PHIL,"ClassNumber(num='PHIL-125 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=PHIL&crse_numb_in=125&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHIL-125 S&term_code=201735&term_desc=Summer 2017&crn=50003')",Logic,50003,T W R F 9:30 AM - 12:00 PM,Meneely Hall 206,"[ClassInstructor(name='Partridge, John K.', link='https://wheatoncollege.edu/academics/faculty-directory/John-Partridge/')]",QA,DVAH,ARHM,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2016', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=CONX&crse_numb_in=20016&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=PHIL&course-1=125&section-1=S,"SeatInfo(max='Max Enroll: 15', taken='Max Enroll: 15', avail='Max Enroll: 15', wait_list='Max Enroll: 15')","This course meets on campus from May 23 to June 16, 2017. This course requires a minimum enrollment of 8 students to be held. Limited to 15. "
4,PHYS,"ClassNumber(num='PHYS-110 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=PHYS&crse_numb_in=110&crn_in=50008&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHYS-110 S&term_code=201735&term_desc=Summer 2017&crn=50008')",Electronic Circuits,50008,T W R 1:00 PM - 5:00 PM,Science Center 1341,"[ClassInstructor(name='Chen, Xuesheng', link='https://wheatoncollege.edu/academics/faculty-directory/Xuesheng-Chen/')]",,DVNS,ARNS,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2022', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=CONX&crse_numb_in=20022&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=PHYS&course-1=110&section-1=S,"SeatInfo(max='Max Enroll: 14', taken='Max Enroll: 14', avail='Max Enroll: 14', wait_list='Max Enroll: 14')","This course meets on campus from May 23 to June 16, 2017. This course requires a minimum enrollment of 8 students to be held. Limited to 14. "
5,PSY,"ClassNumber(num='PSY-202 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=PSY&crse_numb_in=202&crn_in=50001&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PSY-202 S&term_code=201735&term_desc=Summer 2017&crn=50001')",Quantitative Research Methods,50001,T W R F 9:30 AM - 12:00 PM,Meneely Hall 205,"[ClassInstructor(name='Berg, Michael B.', link='https://wheatoncollege.edu/academics/faculty-directory/Michael-Berg/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=PSY&course-1=202&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 23 to June 16, 2017. This course requires a minimum enrollment of 8 students to be held. "
6,REL,"ClassNumber(num='REL-104 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=REL&crse_numb_in=104&crn_in=50010&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=REL-104 S&term_code=201735&term_desc=Summer 2017&crn=50010')",Unprotected Texts,50010,T W R F 2:00 PM - 4:30 PM,Meneely Hall 205,"[ClassInstructor(name='Darling-Smith, Barbara', link='https://wheatoncollege.edu/academics/faculty-directory/Barbara-Darling-Smith/'), ClassInstructor(name='Brumberg-Kraus, Jonathan D.', link='https://wheatoncollege.edu/academics/faculty-directory/Jonathan-Brumberg-Kraus/')]",BW,DVAH,ARHM,"[ClassConx(num='2100', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201735&subj_code_in=CONX&crse_numb_in=21000&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2017&div-1=&dept-1=REL&course-1=104&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 23 to June 16, 2017.  This course requires a minimum enrollment of 8 students to be held. "
