,subject,number,exam,title,CRN,time,location,instructor,foundation,division,area,connection,textbook,seats,special_info
0,ANTH,"ClassNumber(num='ANTH-198 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=ANTH&crse_numb_in=198&crn_in=50011&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-198 S&term_code=201635&term_desc=Summer 2016&crn=50011')","Medicine, Bodies and Power",50011,M T W R F 9:00 AM - 12:00 PM,Balfour-Hood Campus Center MEDIA,"[ClassInstructor(name='Torres, M. Gabriela', link='https://wheatoncollege.edu/academics/faculty-directory/M. Gabriela-Torres/')]",,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=ANTH&course-1=198&section-1=S,"SeatInfo(max='Max Enroll: 10', taken='Max Enroll: 10', avail='Max Enroll: 10', wait_list='Max Enroll: 10')",Offered through the Discover@Wheaton Summer Program. Application and acceptance required. 
1,ANTH,"ClassNumber(num='ANTH-215 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=ANTH&crse_numb_in=215&crn_in=50010&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ANTH-215 S&term_code=201635&term_desc=Summer 2016&crn=50010')",Tanzania: Educ & Development,50010,TBA,Location info TBA,"[ClassInstructor(name='Kerner, Donna O.', link='https://wheatoncollege.edu/academics/faculty-directory/Donna-o-Kerner/')]",BW,DVSS,ARSS,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=ANTH&course-1=215&section-1=S,"SeatInfo(max='Max Enroll: 10', taken='Max Enroll: 10', avail='Max Enroll: 10', wait_list='Max Enroll: 10')",Faculty led overseas trip. 
2,ARTS,"ClassNumber(num='ARTS-116 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=ARTS&crse_numb_in=116&crn_in=50008&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=ARTS-116 S&term_code=201635&term_desc=Summer 2016&crn=50008')",Drawing I,50008,T W R F 9:00 AM - 12:00 PM,Mars Arts & Humanities A225,"[ClassInstructor(name='Fieo, Claudia R.', link='https://wheatoncollege.edu/academics/faculty-directory/claudia-r-fieo/')]",,DVAH,ARCA,"[ClassConx(num='2047', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20047&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=ARTS&course-1=116&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 24 to June 17, 2016. This course requires a minimum enrollment of 8 students to be held. "
3,AST,"ClassNumber(num='AST-130 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=AST&crse_numb_in=130&crn_in=50003&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AST-130 S&term_code=201635&term_desc=Summer 2016&crn=50003')",The Universe,50003,T R F 2:00 PM - 4:00 PM!T R 8:30 PM - 10:30 PM,Science Center 1343!Science Center 1343,"[ClassInstructor(name='Maitra, Dipankar', link='https://wheatoncollege.edu/academics/faculty-directory/Dipankar-Maitra/')]",,DVNS,ARNS,"[ClassConx(num='2059', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20059&crn_in=&seq_numb_in='), ClassConx(num='2077', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20077&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=AST&course-1=130&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 24 to June 17, 2016. This course requires a minimum enrollment of 8 students to be held. "
4,AST,"ClassNumber(num='AST-198 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=AST&crse_numb_in=198&crn_in=50012&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AST-198 S&term_code=201635&term_desc=Summer 2016&crn=50012')",Lunar Exploration,50012,M T W R F 9:00 AM - 12:00 PM,Mars Center-Science/Technology 3102,"[ClassInstructor(name='Barker, Philip T.', link='https://wheatoncollege.edu/academics/faculty-directory/timothy-barker/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=AST&course-1=198&section-1=S,"SeatInfo(max='Max Enroll: 10', taken='Max Enroll: 10', avail='Max Enroll: 10', wait_list='Max Enroll: 10')",Offered through the Discover@Wheaton Summer Program. Application and acceptance required. 
5,BIO,"ClassNumber(num='BIO-106 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=BIO&crse_numb_in=106&crn_in=50001&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=BIO-106 S&term_code=201635&term_desc=Summer 2016&crn=50001')",Human Anatomy,50001,T W R F 8:30 AM - 2:00 PM,Mars Center-Science/Technology 1143,"[ClassInstructor(name='Ackerman-Morris, Shari', link='https://wheatoncollege.edu/academics/faculty-directory/shari-morris/')]",,DVNS,ARNS,"[ClassConx(num='2001', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20001&crn_in=&seq_numb_in='), ClassConx(num='2010', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20010&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=BIO&course-1=106&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 24 to June 17, 2016. This course requires a minimum enrollment of 8 students to be held. "
6,MGMT,"ClassNumber(num='MGMT-120 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=MGMT&crse_numb_in=120&crn_in=50013&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MGMT-120 S&term_code=201635&term_desc=Summer 2016&crn=50013')",Innovation and Social Change,50013,M T W R F 9:00 AM - 12:00 PM,Mars Center-Science/Technology 3120,"[ClassInstructor(name='Miller, Kimberly A.', link='https://wheatoncollege.edu/academics/faculty-directory/kim-miller/'), ClassInstructor(name='Hanno, Dennis M.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,,,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=MGMT&course-1=120&section-1=S,"SeatInfo(max='Max Enroll: 11', taken='Max Enroll: 11', avail='Max Enroll: 11', wait_list='Max Enroll: 11')",Offered through the Discover@Wheaton Program. Application and acceptance required. 
7,PHIL,"ClassNumber(num='PHIL-125 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=PHIL&crse_numb_in=125&crn_in=50002&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=PHIL-125 S&term_code=201635&term_desc=Summer 2016&crn=50002')",Logic,50002,T W R F 2:00 PM - 4:30 PM,Knapton Hall 114,"[ClassInstructor(name='Kendrick, Nancy E.', link='https://wheatoncollege.edu/academics/faculty-directory/Nancy-Kendrick/')]",QA,DVAH,ARHM,"[ClassConx(num='2003', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20003&crn_in=&seq_numb_in='), ClassConx(num='2016', link='/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=CONX&crse_numb_in=20016&crn_in=&seq_numb_in=')]",http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=PHIL&course-1=125&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 24 to June 17, 2016. This course requires a minimum enrollment of 8 students to be held. "
8,REL,"ClassNumber(num='REL-102 S', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201635&subj_code_in=REL&crse_numb_in=102&crn_in=50005&seq_numb_in=S')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=REL-102 S&term_code=201635&term_desc=Summer 2016&crn=50005')",Intro to Study World Religions,50005,T W R F 2:00 PM - 4:30 PM,Meneely Hall 102,"[ClassInstructor(name='Darling-Smith, Barbara', link='https://wheatoncollege.edu/academics/faculty-directory/Barbara-Darling-Smith/'), ClassInstructor(name='Brumberg-Kraus, Jonathan D.', link='https://wheatoncollege.edu/academics/faculty-directory/Jonathan-Brumberg-Kraus/')]",BW,DVAH,ARHM,[],http://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Summer+2016&div-1=&dept-1=REL&course-1=102&section-1=S,"SeatInfo(max='Max Enroll: 999', taken='Max Enroll: 999', avail='Max Enroll: 999', wait_list='Max Enroll: 999')","This course meets on campus from May 24 to June 17, 2016. This course requires a minimum enrollment of 8 students to be held. "
