,subject,number,exam,title,CRN,time,seats,location,instructor,foundation,division,area,connection,textbook,special_info,hidden_days
0,AFDS,"ClassNumber(num='AFDS-201 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=AFDS&crse_numb_in=201&crn_in=50002&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=AFDS-201 W&term_code=201615&term_desc=Winter 2016&crn=50002')",Witness Contemp African Soc,50002,['TBA'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 17', avail='Seats Avail: 3', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Freeman, James A.', link='https://wheatoncollege.edu/academics/faculty-directory/James-Freeman/')]",BW,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=AFDS&course-1=201&section-1=W,,
1,MGMT,"ClassNumber(num='MGMT-298 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=MGMT&crse_numb_in=298&crn_in=50003&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MGMT-298 W&term_code=201615&term_desc=Winter 2016&crn=50003')",Ghana:Innovation/Social Change,50003,['TBA'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 11', avail='Seats Avail: 9', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Hanno, Dennis M.', link='https://wheatoncollege.edu/academics/faculty-directory/')]",,,,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=MGMT&course-1=298&section-1=W,,
2,MUSC,"ClassNumber(num='MUSC-204 W', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_ViewCourseDescription?term_in=201615&subj_code_in=MUSC&crse_numb_in=204&crn_in=50001&seq_numb_in=W')","ClassExam(letter='J', link='https://weblprod1.wheatonma.edu/PROD/bzcrschd.P_DispExamInfo?exam_code=J&course=MUSC-204 W&term_code=201615&term_desc=Winter 2016&crn=50001')",Music Trad/Trinidad & Tobago,50001,['-'],"SeatInfo(max='Max Enroll: 20', taken='Seats Taken: 16', avail='Seats Avail: 4', wait_list='Wait List: 0')",['Location info TBA'],"[ClassInstructor(name='Searles, Julie A.', link='https://wheatoncollege.edu/academics/faculty-directory/Julie-Searles/')]",BW,DVAH,ARCA,[],https://www.bkstr.com/webapp/wcs/stores/servlet/booklookServlet?bookstore_id-1=525&term_id-1=Winter+2016&div-1=&dept-1=MUSC&course-1=204&section-1=W,,-
